operating-platform|Related User Agents
Samsung Galaxy S4 (GT-I9500)|23,044
Samsung Galaxy S4 (GT-I9505)|56,543
Samsung Galaxy S4 (GT-I9507)|2,729
Samsung Galaxy S4 (SGH-I337)|17,607
Samsung Galaxy S4 (SGH-M919)|6,680
Samsung Galaxy S4 (SPH-L720)|11,398
Samsung Galaxy S4 Active (GT-I9295)|7,072
Samsung Galaxy S4 Advance (GT-I9506)|14,442
Samsung Galaxy S4 Duos (GT-I9502)|747
Samsung Galaxy S4 Duos (GT-I9508)|378
Samsung Galaxy S4 Duos (GT-I9508V)|117
Samsung Galaxy S4 Mini (GT-I9190)|5,037
Samsung Galaxy S4 Mini (GT-I9195)|12,181
Samsung Galaxy S4 Mini (GT-I9195I)|2,836
Samsung Galaxy S4 Mini (GT-I9195T)|591
Samsung Galaxy S4 Mini (GT-I9197)|369
Samsung Galaxy S4 Mini Duos (GT-I9192)|5,622
Samsung Galaxy S4 Neo (GT-I9515)|17,297
Samsung Galaxy S4 Neo (GT-I9515L)|1,678
Samsung Galaxy SL (GT-I9003)|952
Samsung Galaxy SL (GT-I9003L)|8
Samsung Galaxy Spica (GT-I5700)|1,087
Samsung Galaxy Spica (GT-I5700L)|5
Samsung Galaxy Tab (GT-P1000)|1,672
Samsung Galaxy Tab 2 (GT-P5110)|9,015
Samsung Galaxy Tab 2 7.0" (GT-P3100)|5,376
Samsung Galaxy Tab 2 7.0" (GT-P3113)|2,338
Samsung Galaxy Tab 3 10.1" (GT-P5210)|9,084
Samsung Galaxy Tab 3 7.0 Kids (SM-T2105)|448
Samsung Galaxy Tab 3 7.0" (SM-T210)|3,013
Samsung Galaxy Tab 3 7.0" (SM-T210R)|2,008
Samsung Galaxy Tab 3 7.0" (SM-T211)|2,681
Samsung Galaxy Tab 3 7.0" (SM-T212)|60
Samsung Galaxy Tab 3 7.0" (SM-T215)|325
Samsung Galaxy Tab 3 7.0" (SM-T217)|1
Samsung Galaxy Tab 3 7.0" (SM-T217S)|2,788
Samsung Galaxy Tab 3 8.0" (SM-T310)|7,304
Samsung Galaxy Tab 3 8.0" (SM-T311)|4,308
Samsung Galaxy Tab 3 8.0" (SM-T312)|101
Samsung Galaxy Tab 3 8.0" (SM-T315)|4,103
Samsung Galaxy Tab 3 8.0" (SM-T315T)|2,886
Samsung Galaxy Tab 3 Lite (SM-T110)|5,509
Samsung Galaxy Tab 3 Neo (SM-T111)|1,788
Samsung Galaxy Tab 3V 3G (SM-T116)|2,949
Samsung Galaxy Tab 3V 7.0" (SM-T113)|4,723
Samsung Galaxy Tab 4 10.0" (SM-T531)|10,269
Samsung Galaxy Tab 4 10.0" (SM-T535)|18,786
Samsung Galaxy Tab 4 10.0" (SM-T537A)|2,178
Samsung Galaxy Tab 4 10.0" (SM-T537V)|4,581
Samsung Galaxy Tab 4 10.1" (SM-T530)|34,236
Samsung Galaxy Tab 4 10.1" (SM-T532)|860
Samsung Galaxy Tab 4 10.1" (SM-T533)|9,696
Samsung Galaxy Tab 4 10.1" Advanced (SM-T536)|1,895
Samsung Galaxy Tab 4 7.0" (SM-T230)|4,474
Samsung Galaxy Tab 4 7.0" (SM-T230NU)|3,688
Samsung Galaxy Tab 4 7.0" (SM-T231)|3,678
Samsung Galaxy Tab 4 7.0" (SM-T232)|113
Samsung Galaxy Tab 4 7.0" (SM-T235)|7,010
Samsung Galaxy Tab 4 7.0" (SM-T237P)|4,630
Samsung Galaxy Tab 4 7.0" (SM-T239)|428
Samsung Galaxy Tab 4 8.0" (SM-T330)|5,715
Samsung Galaxy Tab 4 8.0" (SM-T330nu)|7,828
Samsung Galaxy Tab 4 8.0" (SM-T331)|5,216
Samsung Galaxy Tab 4 8.0" (SM-T335)|9,293
Samsung Galaxy Tab 4 8.0" (SM-T337A)|11,836
Samsung Galaxy Tab 4 8.0" (SM-T337T)|3,108
Samsung Galaxy Tab 4 8.0" (SM-T337V)|3,217
Samsung Galaxy Tab 4 Nook 10.1" (SM-T530NU)|15,919
Samsung Galaxy Tab A 10.1" (SM-P580)|16,898
Samsung Galaxy Tab A 10.1" (SM-P585)|7,830
Samsung Galaxy Tab A 10.1" (SM-T580)|160,940
Samsung Galaxy Tab A 10.1" (SM-T585)|113,711
Samsung Galaxy Tab A 10.1" (SM-T587P)|4,574
Samsung Galaxy Tab A 7.0" (SM-T280)|43,895
Samsung Galaxy Tab A 7.0" (SM-T285)|28,396
Samsung Galaxy Tab A 7.0" (SM-T285YD)|4,536
Samsung Galaxy Tab A 8.0" (SM-T350)|47,443
Samsung Galaxy Tab A 8.0" (SM-T355)|12,355
Samsung Galaxy Tab A 8.0" (SM-T355Y)|15,350
Samsung Galaxy Tab A 8.0" (SM-T357)|1
Samsung Galaxy Tab A 8.0" (SM-T357T)|12,817
Samsung Galaxy Tab A 9.7" (SM-T550)|83,527
Samsung Galaxy Tab A 9.7" (SM-T555)|72,648
Samsung Galaxy Tab A Plus 8.0" (SM-P350)|4,729
Samsung Galaxy Tab A Plus 8.0" (SM-P355)|10,049
Samsung Galaxy Tab A Plus 9.7" (SM-P550)|20,400
Samsung Galaxy Tab A Plus 9.7" (SM-P555)|9,362
Samsung Galaxy Tab Active 8.0" (SM-T360)|1,907
Samsung Galaxy Tab Active 8.0" (SM-T365)|5,456
Samsung Galaxy Tab Active 8.0" (SM-T365M)|352
Samsung Galaxy Tab Active 8.0" (SM-T365Y)|652
Samsung Galaxy Tab E 8.0" (SM-T375)|1,075
Samsung Galaxy Tab E 8.0" (SM-T375L)|1,254
Samsung Galaxy Tab E 8.0" (SM-T375S)|1,534
Samsung Galaxy Tab E 8.0" (SM-T377)|3
Samsung Galaxy Tab E 8.0" (SM-T377A)|22,469
Samsung Galaxy Tab E 8.0" (SM-T377P)|11,055
Samsung Galaxy Tab E 8.0" (SM-T377V)|19,143
Samsung Galaxy Tab E 9.6" (SM-T560)|6,570
Samsung Galaxy Tab E 9.6" (SM-T560NU)|41,658
Samsung Galaxy Tab E 9.6" (SM-T561)|7,450
Samsung Galaxy Tab E 9.6" (SM-T562)|218
Samsung Galaxy Tab Pro 10.1" (SM-T520)|4,780
Samsung Galaxy Tab Pro 10.1" (SM-T525)|1,620
Samsung Galaxy Tab Pro 12.2" (SM-T900)|8,679
Samsung Galaxy Tab Pro 12.2" (SM-T905)|1,229
Samsung Galaxy Tab Pro 8.4" (SM-T320)|4,909
Samsung Galaxy Tab Pro 8.4" (SM-T321)|110
Samsung Galaxy Tab Pro 8.4" (SM-T325)|1,648
Samsung Galaxy Tab S 10.5" (SM-T800)|30,791
Samsung Galaxy Tab S 10.5" (SM-T805)|22,947
Samsung Galaxy Tab S 10.5" (SM-T805W)|1,413
Samsung Galaxy Tab S 10.5" (SM-T805Y)|3,541
Samsung Galaxy Tab S 10.5" (SM-T807)|850
Samsung Galaxy Tab S 10.5" (SM-T807A)|2,627
Samsung Galaxy Tab S 10.5" (SM-T807P)|1,444
Samsung Galaxy Tab S 10.5" (SM-T807R4)|1,542
Samsung Galaxy Tab S 10.5" (SM-T807T)|1,719
Samsung Galaxy Tab S 10.5" (SM-T807V)|3,169
Samsung Galaxy Tab S 8.4" (SM-T700)|14,757
Samsung Galaxy Tab S 8.4" (SM-T705)|12,258
Samsung Galaxy Tab S 8.4" (SM-T707A)|1,491
Samsung Galaxy Tab S 8.4" (SM-T707V)|1,611
Samsung Galaxy Tab S2 8.0" (SM-T710)|24,033
Samsung Galaxy Tab S2 8.0" (SM-T713)|25,470
Samsung Galaxy Tab S2 8.0" (SM-T715)|15,176
Samsung Galaxy Tab S2 8.0" (SM-T715C)|1,959
Samsung Galaxy Tab S2 8.0" (SM-T715Y)|6,689
Samsung Galaxy Tab S2 8.0" (SM-T719)|20,036
Samsung Galaxy Tab S2 9.7" (SM-T810)|42,995
Samsung Galaxy Tab S2 9.7" (SM-T813)|59,344
Samsung Galaxy Tab S2 9.7" (SM-T815)|26,730
Samsung Galaxy Tab S2 9.7" (SM-t815y)|9,372
Samsung Galaxy Tab S2 9.7" (SM-T817)|749
Samsung Galaxy Tab S2 9.7" (SM-T817A)|4,133
Samsung Galaxy Tab S2 9.7" (SM-T817P)|2,872
Samsung Galaxy Tab S2 9.7" (SM-T817R4)|2,593
Samsung Galaxy Tab S2 9.7" (SM-T817T)|4,906
Samsung Galaxy Tab S2 9.7" (SM-T817V)|8,652
Samsung Galaxy Tab S2 9.7" (SM-T817W)|3,090
Samsung Galaxy Tab S2 9.7" (SM-T819)|31,344
Samsung Galaxy Tab S2 9.7" (SM-T819Y)|6,062
Samsung Galaxy Tab S2 Plus 9.7" (SM-T818)|687
Samsung Galaxy Tab S2 Plus 9.7" (SM-T818A)|3,224
Samsung Galaxy Tab S2 Plus 9.7" (SM-T818T)|1,792
Samsung Galaxy Tab S2 Plus 9.7" (SM-T818V)|4,412
Samsung Galaxy Tab S2 Plus 9.7" (SM-T818W)|2,442
Samsung Galaxy Tab S3 9.7" (SM-T820)|42,070
Samsung Galaxy Tab S3 9.7" (SM-T825)|28,768
Samsung Galaxy Tablet (GT-P5113)|4,660
Samsung Galaxy Tablet (GT-P7500)|1,580
Samsung Galaxy Tablet (GT-P7510)|1,882
Samsung Galaxy TabQ (SM-T2519)|638
Samsung Galaxy Trend Plus (GT-S7580)|3,706
Samsung Galaxy Trend Plus (GT-S7580L)|503
Samsung Galaxy View (SM-T670)|5,015
Samsung Galaxy View (SM-T677)|616
Samsung Galaxy View (SM-T677A)|2,366
Samsung Galaxy View (SM-T677V)|795
Samsung Galaxy Win (GT-I8550)|12
Samsung Galaxy Win (GT-I8550L)|1,196
Samsung Galaxy Win (GT-I8552)|2,747
Samsung Galaxy Win (GT-I8552B)|761
Samsung Galaxy Win (GT-I8558)|132
Samsung Galaxy Young (GT-S6310)|926
Samsung Galaxy Young (GT-S6310L)|201
Samsung Galaxy Young (GT-S6310N)|791
Samsung Galaxy Young (GT-S6310T)|196
Samsung GT-001|1
Samsung GT-002|2
Samsung GT-003|1
Samsung GT-004|1
Samsung GT-1|1
Samsung GT-1000|1
Samsung GT-1001|2
Samsung GT-1010|89
Samsung GT-1015|189
Samsung GT-1020|175
Samsung GT-1030|24
Samsung GT-1035|206
Samsung GT-1040|357
Samsung GT-1045|237
Samsung GT-1050|405
Samsung GT-10P|7
Samsung GT-1230|2
Samsung GT-1240|34
Samsung GT-1313|7
Samsung GT-1317|2
Samsung GT-1319|2
Samsung GT-1333|6
Samsung GT-1335|1
Samsung GT-140103|1
Samsung GT-1440|18
Samsung GT-1450|24
Samsung GT-1500|2
Samsung GT-180|1
Samsung GT-180505|1
Samsung GT-18160|1
Samsung GT-18190|3
Samsung GT-18200|1
Samsung GT-18200L|1
Samsung GT-18260L|1
Samsung GT-18262|2
Samsung GT-1852B|1
Samsung GT-18552|4
Samsung GT-18552B|1
Samsung GT-19000|7
Samsung GT-1905|2
Samsung GT-1906|1
Samsung GT-19060|6
Samsung GT-19060I|2
Samsung GT-19060l|4
Samsung GT-19060M|1
Samsung GT-19082|10
Samsung GT-19082L|4
Samsung GT-19100|29
Samsung GT-19105|4
Samsung GT-19152|1
Samsung GT-19190|3
Samsung GT-19192|3
Samsung GT-191921|5
Samsung GT-19200|2
Samsung GT-19300|24
Samsung GT-19300I|1
Samsung GT-193011|1
Samsung GT-19500|34
Samsung GT-19505|77
Samsung GT-195055G|1
Samsung GT-19505G|1
Samsung GT-19506|1
Samsung GT-2000|1
Samsung GT-20082|2
Samsung GT-200s|2
Samsung GT-2020|1
Samsung GT-260f|1
Samsung GT-290000|1
Samsung GT-29953|1
Samsung GT-30000|1
Samsung GT-3100|2
Samsung GT-31000|1
Samsung GT-3110|1
Samsung GT-3113|1
Samsung GT-3500|1
Samsung GT-3653|1
Samsung GT-414X7|7
Samsung GT-495000|1
Samsung GT-5|1
Samsung GT-500|16
Samsung GT-510|1
Samsung GT-5100|1
Samsung GT-5200|7
Samsung GT-5360|2
Samsung GT-5460|1
Samsung GT-5660|8
Samsung GT-5830|2
Samsung GT-5830L|3
Samsung GT-5839i|1
Samsung GT-6|1
Samsung GT-6405|17
Samsung GT-6726|1
Samsung GT-6918|5
Samsung GT-69UAIE|2
Samsung GT-700|1
Samsung GT-7000|1
Samsung GT-7010|1
Samsung GT-7020|4
Samsung GT-7030|9
Samsung GT-7040|66
Samsung GT-7050|173
Samsung GT-70X|1
Samsung GT-7100|111
Samsung GT-7105|155
Samsung GT-7110|173
Samsung GT-7115|144
Samsung GT-7200|3
Samsung GT-7204|34
Samsung GT-7204R|13
Samsung GT-7205|253
Samsung GT-7210|216
Samsung GT-7220|2
Samsung GT-7230|2
Samsung GT-7240|18
Samsung GT-7240R|21
Samsung GT-7245|10
Samsung GT-7270|1
Samsung GT-7303|7
Samsung GT-7304|7
Samsung GT-7306|2
Samsung GT-7310|1
Samsung GT-7320|20
Samsung GT-7325|12
Samsung GT-7326|22
Samsung GT-7327|28
Samsung GT-7340|30
Samsung GT-7402|9
Samsung GT-7405|114
Samsung GT-746a|1
Samsung GT-750|1
Samsung GT-7550|84
Samsung GT-7566|2
Samsung GT-7582|3
Samsung GT-7810|18
Samsung GT-7852|2
Samsung GT-7900|1
Samsung GT-7P|2
Samsung GT-8|1
Samsung GT-8005|141
Samsung GT-8010|288
Samsung GT-81|10
Samsung GT-810|784
Samsung GT-8105|304
Samsung GT-8110|188
Samsung GT-8190|8
Samsung GT-8220S|12
Samsung GT-8230|1
Samsung GT-8280|29
Samsung GT-8320|2
Samsung GT-8410|24
Samsung GT-8552|2
Samsung GT-8750|4
Samsung GT-88507|1
Samsung GT-886|10
Samsung GT-9|2
Samsung GT-9000|18
Samsung GT-9008|1
Samsung GT-9060I|6
Samsung GT-9082|3
Samsung GT-9100|5
Samsung GT-9190|1
Samsung GT-9192|7
Samsung GT-9200|15
Samsung GT-9205|1
Samsung GT-9220|1
Samsung GT-9300|5
Samsung GT-9301|1
Samsung GT-9320|7
Samsung GT-93G|1
Samsung GT-9500|3
Samsung GT-9500I|1
Samsung GT-9505|11
Samsung GT-9505g|1
Samsung GT-9910|1
Samsung GT-99999|1
Samsung GT-A320F|1
Samsung GT-A7100|47
Samsung GT-A9001|1
Samsung GT-A9500|24
Samsung GT-ANDROID|1
Samsung GT-B2100i|71
Samsung GT-B2710|40
Samsung GT-B3210|2
Samsung GT-B3310|1
Samsung GT-B3313|1
Samsung GT-B3410|14
Samsung GT-B3410R|2
Samsung GT-B3410W|3
Samsung GT-B5310|25
Samsung GT-B5310L|1
Samsung GT-B5310R|1
Samsung GT-B5330|2,141
Samsung GT-B5330B|6
Samsung GT-B5330L|73
Samsung GT-B5330ZKAINU|1,610
Samsung GT-B5369|1
Samsung GT-B5510|177
Samsung GT-B5510B|6
Samsung GT-B5510CAAXFA|29
Samsung GT-B5510L|15
Samsung GT-B5512|169
Samsung GT-B5512B|5
Samsung GT-B5722|13
Samsung GT-B6520|2
Samsung GT-B7300|4
Samsung GT-B7300Orange|1
Samsung GT-B7320|5
Samsung GT-B7330|3
Samsung GT-B7330B|1
Samsung GT-B7330Orange|1
Samsung GT-B7330R|1
Samsung GT-B7350|5
Samsung GT-B7350Orange|3
Samsung GT-B7510|252
Samsung GT-B7510B|2
Samsung GT-B7510L|6
Samsung GT-B7610|8
Samsung GT-B7620|1
Samsung GT-b7722|55
Samsung GT-B7722i|7
Samsung GT-B7800|47
Samsung GT-B7810|55
Samsung GT-B9062|17
Samsung GT-B9062DNCCHN|38
Samsung GT-B9120|64
Samsung GT-B9150|50
Samsung GT-B9388|12
Samsung GT-B9500|5
Samsung GT-BL324S|1
Samsung GT-C3010|3
Samsung GT-C3011|2
Samsung GT-C3200|2
Samsung GT-C3212|2
Samsung GT-C3212i|3
Samsung GT-C3222|58
Samsung GT-C3222W|4
Samsung GT-C3260|1
Samsung GT-C3262|1,184
Samsung GT-C3300i|9
Samsung GT-C3300K|11
Samsung GT-C3303|28
Samsung GT-C3303i|31
Samsung GT-C3303K|14
Samsung GT-C3310|65
Samsung GT-C3310R|306
Samsung GT-C3312|1,478
Samsung GT-C3312R|1,170
Samsung GT-C3313T|1
Samsung GT-C3322|615
Samsung GT-C3322i|1,550
Samsung GT-C3330|2
Samsung GT-C3332|1
Samsung GT-C3350|119
Samsung GT-C3500|1
Samsung GT-C3510|15
Samsung GT-C3510T|5
Samsung GT-C3520|44
Samsung GT-C3520I|692
Samsung GT-C3528|1
Samsung GT-C3530|2
Samsung GT-c3536w|1
Samsung GT-C3560|2
Samsung GT-C3590|396
Samsung GT-C3592|268
Samsung GT-C3595|161
Samsung GT-C3595V|6
Samsung GT-C3750|3
Samsung GT-C3752|2
Samsung GT-C3780|37
Samsung GT-C3782|145
Samsung GT-C5010E|1
Samsung GT-C5130|2
Samsung GT-c5180|1
Samsung GT-C5212i|17
Samsung GT-C5220|1
Samsung GT-C5510|1
Samsung GT-C6112|6
Samsung GT-c6712|92
Samsung GT-E1130B|3
Samsung GT-E1190|1
Samsung GT-E1232D|1
Samsung GT-E1265|20
Samsung GT-E1282T|2,505
Samsung GT-E1500|421
Samsung GT-E2120|5
Samsung GT-E2120B|1
Samsung GT-E2120i|2
Samsung GT-E2121|6
Samsung GT-E2121B|12
Samsung GT-E2121L|1
Samsung GT-E2121N|1
Samsung GT-E2130|2
Samsung GT-E2152|6
Samsung GT-E2152i|3
Samsung GT-E2200|630
Samsung GT-E2202|1,770
Samsung GT-E2222|46
Samsung GT-E2222L|1
Samsung GT-E2230|2
Samsung GT-E2230L|1
Samsung GT-E2230M|1
Samsung GT-E2232|5
Samsung GT-E2250|419
Samsung GT-E2252|1,826
Samsung GT-E2262|11
Samsung GT-E2330|1
Samsung GT-E2350B|22
Samsung GT-E2370|2
Samsung GT-E250S|1
Samsung GT-E2530|2
Samsung GT-E2550|20
Samsung GT-E2600|10
Samsung GT-E2652|1
Samsung GT-E2652W|2
Samsung GT-E300L|1
Samsung GT-E300S|1
Samsung GT-E3210|20
Samsung GT-E3210B|3
Samsung GT-E3213K|3
Samsung GT-E3300|35
Samsung GT-E3300I|148
Samsung GT-E3300L|64
Samsung GT-E3300V|181
Samsung GT-E3309|38
Samsung GT-E3309I|952
Samsung GT-E3309T|266
Samsung GT-E330L|1
Samsung GT-E330S|3
Samsung GT-E870W3G2|4
Samsung GT-E9505|1
Samsung GT-Elias|1
Samsung GT-F|1
Samsung GT-FASTERII|2
Samsung GT-G1|2
Samsung GT-G110B|1
Samsung GT-g3|2
Samsung GT-G5|94
Samsung GT-G530H|3
Samsung GT-G9|44
Samsung GT-g900f|16
Samsung GT-G925|1
Samsung GT-G930|2
Samsung GT-G960G|1
Samsung GT-G975U|1
Samsung GT-GS888|1
Samsung GT-GT|1
Samsung GT-H618|1
Samsung GT-H8552|3
Samsung GT-H9001|5
Samsung GT-H9500|59
Samsung GT-H9503|24
Samsung GT-I|1
Samsung GT-I10000|2
Samsung GT-I1900|1
Samsung GT-I19000|1
Samsung GT-I19031I|1
Samsung GT-I19082|1
Samsung GT-i1908N|1
Samsung GT-I19100|1
Samsung GT-I19301Q|1
Samsung GT-I19500|1
Samsung GT-I19505|3
Samsung GT-I314G|1
Samsung GT-I337|2
Samsung GT-I5210|2
Samsung GT-I5508|2
Samsung GT-I5700R|5
Samsung GT-I5800D|2
Samsung GT-I5800L|257
Samsung GT-I5801|359
Samsung GT-I6000|1
Samsung GT-I6220|4
Samsung GT-I6230|1
Samsung GT-I6410|6
Samsung GT-I6500U|187
Samsung GT-I6712|1
Samsung GT-I7100|3
Samsung GT-I7105|7
Samsung GT-I7109|1
Samsung GT-I7500|4
Samsung GT-I7680|1
Samsung GT-i777|2
Samsung GT-i8000Orange|3
Samsung GT-i8000T|1
Samsung GT-i8000V|7
Samsung GT-I8150|547
Samsung GT-I8150B|84
Samsung GT-I8150FKADBT|73
Samsung GT-I8150FKBZTO|67
Samsung GT-I8150T|15
Samsung GT-I8159|1
Samsung GT-I8160OKLTPA|2,284
Samsung GT-I8160ZWLTTT|2,374
Samsung GT-I8190AKG|1
Samsung GT-I8191N|2
Samsung GT-I8199|1
Samsung GT-I819ON|1
Samsung GT-I8200LJefer|1
Samsung GT-I8240|1
Samsung GT-I8245|5
Samsung GT-I8258|11
Samsung GT-I8262D|341
Samsung GT-I8268|234
Samsung GT-I8320|3
Samsung GT-I8350|11
Samsung GT-I8350T|1
Samsung GT-I8520TKASTH|108
Samsung GT-I8530BAABTU|1,547
Samsung GT-I8530BALCHO|1,583
Samsung GT-I8530BALTTT|1,537
Samsung GT-I8550E|78
Samsung GT-I8552BUBUANH1|2
Samsung GT-I8675|1
Samsung GT-i8700|1
Samsung GT-I8750|46
Samsung GT-I890|2
Samsung GT-I8910|2
Samsung GT-I8999|1
Samsung GT-I9|3
Samsung GT-I90|2
Samsung GT-I900|2
Samsung GT-I9001HKDVOD|35
Samsung GT-I9005|3
Samsung GT-I9008L|6
Samsung GT-I9020|43
Samsung GT-I9020A|44
Samsung GT-I9030|1
Samsung GT-I905|1
Samsung GT-I9050|14
Samsung GT-I90505|1
Samsung GT-I906|1
Samsung GT-I9080E|13
Samsung GT-I9082C|83
Samsung GT-I9082EWAINU|193
Samsung GT-I9082i|229
Samsung GT-I91|1
Samsung GT-I91000|1
Samsung GT-I9100G|1,059
Samsung GT-I9100LKLCHT|1,836
Samsung GT-I9100M|227
Samsung GT-I9100P|804
Samsung GT-I9100T|615
Samsung GT-I9101|1
Samsung GT-i9103Mobile|1
Samsung GT-I9105UANDBT|194
Samsung GT-I9128E|187
Samsung GT-I9128I|79
Samsung GT-I9128V|180
Samsung GT-I9158P|140
Samsung GT-I9158V|240
Samsung GT-I9168I|175
Samsung GT-I919|1
Samsung GT-I9190l|1
Samsung GT-I91919|1
Samsung GT-I9192I|985
Samsung GT-I9192ZKAXFE|108
Samsung GT-I9192ZKPZTM|115
Samsung GT-I9192ZPLCHO|111
Samsung GT-I9192ZRZSER|105
Samsung GT-I9192ZWLTPA|87
Samsung GT-I9193U|1
Samsung GT-I9195H|4
Samsung GT-I9195L|561
Samsung GT-I9195X|20
Samsung GT-I9202|2
Samsung GT-I9221|1
Samsung GT-I9250|25
Samsung GT-I9260RWASER|79
Samsung GT-I9270|4
Samsung GT-I930|2
Samsung GT-I93000|38
Samsung GT-I93001|1
Samsung GT-I9300l|1
Samsung GT-I9300RWI|1
Samsung GT-I9301l|2
Samsung GT-I9301note|1
Samsung GT-I9303I|2
Samsung GT-I9303T|1
Samsung GT-I9304V|2
Samsung GT-I9305N|432
Samsung GT-I9306|2
Samsung GT-I9307|2
Samsung GT-I9308I|2,900
Samsung GT-I9310|721
Samsung GT-I9350|6
Samsung GT-i9377|5
Samsung GT-I9390|1
Samsung GT-I9400|12
Samsung GT-I9403N|1
Samsung GT-I9404I|1
Samsung GT-I9405I|1
Samsung GT-I9406V|1
Samsung GT-I9411|1
Samsung GT-I950|3
Samsung GT-I95000|1
Samsung GT-I9500i|1
Samsung GT-I9500l|1
Samsung GT-I9500N|1
Samsung GT-I9503I|1
Samsung GT-I9503V|1
Samsung GT-I9504N|1
Samsung GT-I9504T|1
Samsung GT-I9505G|997
Samsung GT-I9505H|1
Samsung GT-I9505I|1
Samsung GT-I9505N|1
Samsung GT-I9505X|55
Samsung GT-I9505XX|1
Samsung GT-I9506I|1
Samsung GT-I9507V|1,075
Samsung GT-I9509|2
Samsung GT-I951|1
Samsung GT-I9514|2
Samsung GT-I952p|1
Samsung GT-I9565I|1
Samsung GT-I959|1
Samsung GT-I9599|3
Samsung GT-I95O5|2
Samsung GT-I9600|3,539
Samsung GT-I9605|3
Samsung GT-I9624|1
Samsung GT-I9660t|1
Samsung GT-I9678|1
Samsung GT-I9700|11
Samsung GT-I9706|1
Samsung GT-I9800|12
Samsung GT-I9810|2
Samsung GT-I9900|1
Samsung GT-IA9100|1
Samsung GT-j11h|1
Samsung GT-JAVLONBEK|2
Samsung GT-jZa1tmlo|1
Samsung GT-kaps5|1
Samsung GT-King|22
Samsung GT-l19301l|1
Samsung GT-l19500|2
Samsung GT-l81901|1
Samsung GT-l8200|1
Samsung GT-l8200L|1
Samsung GT-l8580|1
Samsung GT-l9060l|2
Samsung GT-l9100|5
Samsung GT-l9300|24
Samsung GT-l9301|1
Samsung GT-l9500|5
Samsung GT-L9505|6
Samsung GT-l990|1
Samsung GT-LA5L10|1
Samsung GT-libya|1
Samsung GT-M110S|2
Samsung GT-m190|1
Samsung GT-M2310|1
Samsung GT-M2513|1
Samsung GT-m3710|9
Samsung GT-M4|2
Samsung GT-M4s|1
Samsung GT-M5|2
Samsung GT-m5650|11
Samsung GT-M6|2
Samsung GT-M6a|1
Samsung GT-M7|3
Samsung GT-M8000|1
Samsung GT-M8273|3
Samsung GT-M8800|10
Samsung GT-M8910|5
Samsung GT-M919|3
Samsung GT-N1011|1
Samsung GT-N1202|1
Samsung GT-N5000S|7
Samsung GT-N5100|3,786
Samsung GT-N5100S|4
Samsung GT-N5105|157
Samsung GT-N5110|4,633
Samsung GT-N5120|1,314
Samsung GT-N6100|1
Samsung GT-N6110|1
Samsung GT-N700|5
Samsung GT-N7000B|147
Samsung GT-N7005|38
Samsung GT-N7077|1
Samsung GT-N7100T|242
Samsung GT-N7102|660
Samsung GT-N7103|1
Samsung GT-N7105|4,519
Samsung GT-N7105T|1,024
Samsung GT-N7108|291
Samsung GT-N7108D|55
Samsung GT-N7109|1
Samsung GT-N717|1
Samsung GT-N71OO|1
Samsung GT-N7200|9
Samsung GT-N7300|2
Samsung GT-N7I00|7
Samsung GT-N7I02|5
Samsung GT-N8000|8,322
Samsung GT-N8005|438
Samsung GT-N8010|5,022
Samsung GT-N801x|4
Samsung GT-N8020|1,938
Samsung GT-N9000|111
Samsung GT-N9002|1
Samsung GT-N9005|1
Samsung GT-N9006|1
Samsung GT-N905S|1
Samsung GT-N90OS|3
Samsung GT-N920I|1
Samsung GT-N9300|34
Samsung GT-N9505|27
Samsung GT-N9600|3,671
Samsung GT-P1000CWAXSA|647
Samsung GT-P1000L|26
Samsung GT-P1000M|18
Samsung GT-P1000N|30
Samsung GT-P1000R|7
Samsung GT-P1000T|23
Samsung GT-P1010|927
Samsung GT-P1013|1
Samsung GT-P1120|1
Samsung GT-P1152|1
Samsung GT-P1175|1
Samsung GT-P1231|1
Samsung GT-P1283|1
Samsung GT-P1310|1
Samsung GT-P1312|1
Samsung GT-P1471|1
Samsung GT-P1631|1
Samsung GT-P1689|1
Samsung GT-P1721|1
Samsung GT-P1775|1
Samsung GT-P1796|1
Samsung GT-P1826|1
Samsung GT-P1851|1
Samsung GT-P1878|1
Samsung GT-P1913|1
Samsung GT-P1921|1
Samsung GT-P1935|1
Samsung GT-P2000|1
Samsung GT-P2052|1
Samsung GT-P2147|1
Samsung GT-P2224|1
Samsung GT-P2225|1
Samsung GT-P2271|1
Samsung GT-P2280|1
Samsung GT-P2773|1
Samsung GT-P2818|1
Samsung GT-P2898|1
Samsung GT-P2923|1
Samsung GT-P3015|1
Samsung GT-P3100B|81
Samsung GT-P3105|43
Samsung GT-P3108|12
Samsung GT-P3110|5,921
Samsung GT-P3155|1
Samsung GT-P3349|1
Samsung GT-P3376|1
Samsung GT-P3382|1
Samsung GT-P3452|1
Samsung GT-P3493|1
Samsung GT-P3555|1
Samsung GT-P3557|1
Samsung GT-P3595|1
Samsung GT-P3669|1
Samsung GT-P3745|1
Samsung GT-P3829|1
Samsung GT-P3855|1
Samsung GT-P3948|1
Samsung GT-P3949|1
Samsung GT-P4048|1
Samsung GT-P4118|1
Samsung GT-P4121|1
Samsung GT-P4135|1
Samsung GT-P4157|1
Samsung GT-P4195|1
Samsung GT-P4219|1
Samsung GT-P4221|1
Samsung GT-P4255|1
Samsung GT-P4416|1
Samsung GT-P4433|1
Samsung GT-P4455|1
